Top 10 by DMG:
Rogeri | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:150 | DPS:120.0
Hawk | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:140 | DPS:112.0
Gogita | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:130 | DPS:104.0
Luffi | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:130 | DPS:104.0
Sung | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:120 | DPS:96.0
Yoriche | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:120 | DPS:96.0
Edwerd | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:72 | DPS:55.38461538461538
SonGoko | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:69 | DPS:53.07692307692307
Rengoko | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:65 | DPS:50.0
Igros | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:62 | DPS:47.69230769230769

Top 10 by DPS:
Rogeri | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:150 | DPS:120.0
Hawk | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:140 | DPS:112.0
Gogita | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:130 | DPS:104.0
Luffi | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:130 | DPS:104.0
Sung | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:120 | DPS:96.0
Yoriche | Trait:None | Relic:None | Accessory:None | Rank:- | Ascension:0 | Level:1 | DamageHit:E | Shiny:False | DMG:120 | DPS:96.0
